study,level,level_time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
time,1.0,43200.0,1.7,-1.7905676941154525e-11,1.7905676941154525e-11,-3.7871439317882505e-10,3.7871439317882505e-10
time,1.0,43200.0,1.8,-2.5124791136477143e-11,2.5124791136477143e-11,-3.5281466637115955e-10,3.5281466637115955e-10
time,1.0,43200.0,1.9,-2.916067387559451e-11,2.916067387559451e-11,-3.3235475482840116e-10,3.3235475482840116e-10
time,1.0,43200.0,2.0,-2.751221472863108e-11,2.751221472863108e-11,-3.875777476736175e-10,3.875777476736175e-10
time,1.0,86400.0,0.0,-3.8255620893323794e-11,3.8255620893323794e-11,-1.6683179837606588e-10,1.6683179837606588e-10
time,1.0,86400.0,0.1,-3.888089850079268e-11,3.888089850079268e-11,-1.6659448820455225e-10,1.6659448820455225e-10
time,1.0,86400.0,0.2,-3.7346126191550866e-11,3.7346126191550866e-11,-1.6588891371682735e-10,1.6588891371682735e-10
time,1.0,86400.0,0.3,-3.660716174636036e-11,3.660716174636036e-11,-1.6470635966214786e-10,1.6470635966214786e-10
time,1.0,86400.0,0.4,-3.6493474908638746e-11,3.6493474908638746e-11,-1.6304521621712809e-10,1.6304521621712809e-10
time,1.0,86400.0,0.5,-3.603872755775228e-11,3.603872755775228e-11,-1.6089951593301066e-10,1.6089951593301066e-10
time,1.0,86400.0,0.6,-3.518607627484016e-11,3.518607627484016e-11,-1.5826190358225745e-10,1.5826190358225745e-10
time,1.0,86400.0,0.7,-3.444711182964966e-11,3.444711182964966e-11,-1.5513085260820958e-10,1.5513085260820958e-10
time,1.0,86400.0,0.8,-3.467448550509289e-11,3.467448550509289e-11,-1.5148907128725853e-10,1.5148907128725853e-10
time,1.0,86400.0,0.9,-3.461764208623208e-11,3.461764208623208e-11,-1.473243471661334e-10,1.473243471661334e-10
time,1.0,86400.0,1.0,-3.5072389437118545e-11,3.5072389437118545e-11,-1.4261039571472622e-10,1.4261039571472622e-10
time,1.0,86400.0,1.1,-3.5413449950283393e-11,3.5413449950283393e-11,-1.3731504822089846e-10,1.3731504822089846e-10
time,1.0,86400.0,1.2,-3.575451046344824e-11,3.575451046344824e-11,-1.3139042631671316e-10,1.3139042631671316e-10
time,1.0,86400.0,1.3,-3.575451046344824e-11,3.575451046344824e-11,-1.2476264465988152e-10,1.2476264465988152e-10
time,1.0,86400.0,1.4,-3.61524143954739e-11,3.61524143954739e-11,-1.1730294513512263e-10,1.1730294513512263e-10
time,1.0,86400.0,1.5,-3.694822225952521e-11,3.694822225952521e-11,-1.0877895806338245e-10,1.0877895806338245e-10
time,1.0,86400.0,1.6,-3.83124643121846e-11,3.83124643121846e-11,-9.871375938885762e-11,9.871375938885762e-11
time,1.0,86400.0,1.7,-3.780087354243733e-11,3.780087354243733e-11,-8.611386603796234e-11,8.611386603796234e-11
time,1.0,86400.0,1.8,-3.5413449950283393e-11,3.5413449950283393e-11,-6.853181910848605e-11,6.853181910848605e-11
time,1.0,86400.0,1.9,-3.2798652682686225e-11,3.2798652682686225e-11,-3.7208541803224193e-11,3.7208541803224193e-11
time,1.0,86400.0,2.0,-3.888089850079268e-11,3.888089850079268e-11,-4.541850229244915e-11,4.541850229244915e-11
time,1.0,172800.0,0.0,-3.5072389437118545e-11,3.5072389437118545e-11,-3.7351149950737295e-11,3.7351149950737295e-11
